inhib_strength,w_init_lo,w_init_hi,nu_plus,nu_minus,poisson_rate_scale,thresh_init,tau_val,refrac_val,vt_mean,vt_jitter,w_clip_min,w_clip_max,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.675,0.45,0.7,0.0001,-0.001,0.014,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.272,120.34,81,0.017,1618.7,71.82
0.5,0.25,0.6,0.0001,-0.001,0.012,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.433,17.43,46,0.049,1313.2,72.63
0.6,0.25,0.4,0.0001,-0.001,0.009,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.02,0,0.0,993.7,69.63
0.65,0.45,0.9,0.0001,-0.001,0.014,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.239,130.5,88,0.026,1628.9,69.51
0.5,0.25,0.9,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.267,94.56,86,0.036,1593.0,69.04
0.6,0.25,0.8,0.0001,-0.001,0.014,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.265,64.05,86,0.04,1562.4,69.54
0.525,0.25,0.8,0.0001,-0.001,0.01,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.426,19.63,52,0.044,1114.6,69.54
0.625,0.25,0.6,0.0001,-0.001,0.01,0.34,150.0,2.0,0.35,0.02,0.0,1.0,400,0.397,4.62,26,0.043,1099.5,69.83
0.65,0.45,0.9,0.0001,-0.001,0.008,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.435,22.69,41,0.046,915.9,69.59
0.7,0.25,0.5,0.0001,-0.001,0.008,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.0,0.05,0,0.0,893.3,69.72
0.625,0.45,0.8,0.0001,-0.001,0.008,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.414,16.82,39,0.04,910.1,69.95
0.65,0.45,0.9,0.0001,-0.001,0.013,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.24,110.32,88,0.028,1506.8,69.34
0.625,0.65,0.8,0.0001,-0.001,0.009,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.43,105.85,63,0.03,1099.6,69.3
0.525,0.35,0.9,0.0001,-0.001,0.009,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.428,28.1,52,0.039,1021.8,68.94
0.625,0.25,0.5,0.0001,-0.001,0.011,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.447,3.46,17,0.069,1198.1,69.56
0.7,0.35,0.9,0.0001,-0.001,0.013,0.3,150.0,2.0,0.35,0.02,0.0,1.0,400,0.35,79.3,76,0.042,1475.8,69.67
0.675,0.35,0.6,0.0001,-0.001,0.011,0.4,150.0,2.0,0.35,0.02,0.0,1.0,400,0.451,17.99,31,0.058,1212.7,69.11
0.625,0.25,0.4,0.0001,-0.001,0.01,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.634,0.2,6,0.167,1095.1,69.01
0.6,0.25,0.4,0.0001,-0.001,0.014,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.449,11.54,25,0.062,1509.9,69.22
0.65,0.25,0.5,0.0001,-0.001,0.012,0.38,150.0,2.0,0.35,0.02,0.0,1.0,400,0.468,6.92,21,0.076,1302.7,69.33
0.5,0.25,0.8,0.0001,-0.001,0.011,0.42,150.0,2.0,0.35,0.02,0.0,1.0,400,0.45,31.05,51,0.048,1225.7,69.27
0.55,0.25,0.8,0.0001,-0.001,0.014,0.32,150.0,2.0,0.35,0.02,0.0,1.0,400,0.323,68.05,78,0.038,1566.4,68.99
