inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.55,0.25,0.5,0.009,0.38,400,0.322,0.44,7,0.16,994.2,71.74
0.5,0.35,0.7,0.01,0.36,400,0.401,22.71,51,0.034,1117.6,70.84
0.625,0.25,0.5,0.014,0.4,400,0.325,16.71,38,0.056,1515.1,70.99
0.6,0.35,0.8,0.014,0.32,400,0.142,89.46,90,0.026,1587.9,71.28
0.6,0.25,0.6,0.012,0.36,400,0.354,14.75,40,0.061,1310.5,71.2
0.55,0.35,0.9,0.012,0.38,400,0.151,76.72,80,0.033,1372.5,70.97
0.525,0.65,0.8,0.009,0.42,400,0.247,113.34,70,0.026,1107.1,71.03
0.75,0.25,0.6,0.01,0.36,400,0.185,3.94,24,0.068,1098.9,70.79
0.525,0.45,0.7,0.008,0.36,400,0.256,15.35,36,0.032,908.6,70.67
0.75,0.65,0.9,0.011,0.3,400,0.139,153.09,88,0.02,1347.8,70.57
0.675,0.55,0.9,0.008,0.36,400,0.434,34.15,51,0.043,927.4,71.88
0.5,0.35,0.9,0.012,0.34,400,0.152,83.12,81,0.032,1378.9,70.96
0.5,0.35,0.8,0.014,0.4,400,0.151,103.66,87,0.029,1602.1,70.8
0.525,0.45,0.9,0.01,0.34,400,0.164,60.82,77,0.028,1155.7,70.98
0.6,0.25,0.5,0.008,0.4,400,0.0,0.07,0,0.0,893.3,70.34
0.6,0.25,0.9,0.013,0.36,400,0.162,67.17,82,0.04,1463.7,70.56
0.725,0.35,0.5,0.014,0.4,400,0.385,52.74,54,0.026,1551.1,70.83
0.5,0.35,0.7,0.014,0.3,400,0.14,83.27,81,0.026,1581.7,70.28
0.75,0.35,0.6,0.012,0.38,400,0.408,25.12,49,0.036,1320.9,70.72
0.575,0.45,0.8,0.011,0.34,400,0.131,63.88,82,0.025,1258.6,73.62
0.75,0.25,0.6,0.009,0.36,400,0.208,1.56,11,0.102,995.3,76.31
0.675,0.55,0.8,0.009,0.42,400,0.377,48.22,57,0.039,1041.9,69.73
0.6,0.25,0.5,0.012,0.42,400,0.236,8.37,17,0.108,1304.1,69.82
0.7,0.35,0.5,0.009,0.34,400,0.129,2.49,17,0.062,996.2,69.98
