inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.7,0.25,0.8,0.011,0.36,400,0.461,23.88,48,0.068,1218.6,71.41
0.7,0.25,0.8,0.011,0.38,400,0.453,23.7,52,0.064,1218.4,71.63
0.7,0.25,0.8,0.011,0.4,400,0.46,24.0,49,0.063,1218.7,71.17
0.7,0.25,0.8,0.0115,0.36,400,0.492,28.2,50,0.071,1273.4,71.09
0.7,0.25,0.8,0.0115,0.38,400,0.396,28.3,57,0.058,1273.5,71.11
0.7,0.25,0.8,0.0115,0.4,400,0.419,28.04,55,0.06,1273.3,71.09
0.7,0.25,0.8,0.012,0.36,400,0.388,34.12,59,0.06,1329.9,71.03
0.7,0.25,0.8,0.012,0.38,400,0.325,34.19,62,0.044,1329.9,71.24
0.7,0.25,0.8,0.012,0.4,400,0.344,34.05,63,0.059,1329.8,70.83
0.7,0.3,0.8,0.011,0.36,400,0.375,28.86,58,0.052,1223.5,70.03
0.7,0.3,0.8,0.011,0.38,400,0.377,29.26,55,0.037,1223.9,70.96
0.7,0.3,0.8,0.011,0.4,400,0.377,29.33,58,0.052,1224.0,71.09
0.7,0.3,0.8,0.0115,0.36,400,0.317,35.19,66,0.059,1280.4,70.95
0.7,0.3,0.8,0.0115,0.38,400,0.356,35.45,60,0.049,1280.7,70.9
0.7,0.3,0.8,0.0115,0.4,400,0.313,34.81,64,0.047,1280.0,70.91
0.7,0.3,0.8,0.012,0.36,400,0.323,40.81,65,0.055,1336.6,70.82
0.7,0.3,0.8,0.012,0.38,400,0.333,40.2,65,0.06,1336.0,71.15
0.7,0.3,0.8,0.012,0.4,400,0.274,40.23,68,0.045,1336.0,70.45
0.7,0.35,0.7,0.011,0.36,400,0.417,27.0,42,0.074,1221.7,70.68
0.7,0.35,0.7,0.011,0.38,400,0.418,27.07,47,0.049,1221.7,70.64
0.7,0.35,0.7,0.011,0.4,400,0.448,27.26,51,0.054,1221.9,70.73
0.7,0.35,0.7,0.0115,0.36,400,0.418,31.07,47,0.047,1276.3,70.54
0.7,0.35,0.7,0.0115,0.38,400,0.451,31.39,52,0.059,1276.6,70.61
0.7,0.35,0.7,0.0115,0.4,400,0.436,32.11,52,0.05,1277.3,71.15
0.7,0.35,0.7,0.012,0.36,400,0.256,38.27,69,0.042,1334.0,70.96
0.7,0.35,0.7,0.012,0.38,400,0.342,39.29,63,0.055,1335.0,71.01
0.7,0.35,0.7,0.012,0.4,400,0.281,37.17,65,0.035,1332.9,71.08
0.715,0.25,0.8,0.011,0.36,400,0.382,23.21,59,0.064,1217.9,71.07
0.715,0.25,0.8,0.011,0.38,400,0.467,23.56,52,0.071,1218.2,70.84
0.715,0.25,0.8,0.011,0.4,400,0.477,23.56,50,0.066,1218.2,70.82
0.715,0.25,0.8,0.0115,0.36,400,0.395,27.76,55,0.048,1273.0,70.71
0.715,0.25,0.8,0.0115,0.38,400,0.441,27.97,50,0.046,1273.2,70.76
0.715,0.25,0.8,0.0115,0.4,400,0.438,27.59,51,0.049,1272.8,70.85
0.715,0.25,0.8,0.012,0.36,400,0.374,32.68,60,0.059,1328.4,70.92
0.715,0.25,0.8,0.012,0.38,400,0.305,33.08,64,0.044,1328.8,70.87
0.715,0.25,0.8,0.012,0.4,400,0.318,33.18,64,0.051,1328.9,70.88
0.715,0.3,0.8,0.011,0.36,400,0.387,28.73,56,0.048,1223.4,70.89
0.715,0.3,0.8,0.011,0.38,400,0.319,28.54,61,0.039,1223.2,71.27
0.715,0.3,0.8,0.011,0.4,400,0.367,28.93,60,0.058,1223.6,71.08
0.715,0.3,0.8,0.0115,0.36,400,0.352,34.19,60,0.047,1279.4,70.78
0.715,0.3,0.8,0.0115,0.38,400,0.381,33.84,58,0.052,1279.0,70.86
0.715,0.3,0.8,0.0115,0.4,400,0.381,33.84,58,0.052,1279.0,70.29
0.715,0.3,0.8,0.012,0.36,400,0.262,40.09,69,0.045,1335.8,70.47
0.715,0.3,0.8,0.012,0.38,400,0.328,40.23,65,0.057,1336.0,70.86
0.715,0.3,0.8,0.012,0.4,400,0.333,39.66,62,0.045,1335.4,70.74
0.715,0.35,0.7,0.011,0.36,400,0.448,27.25,49,0.054,1221.9,70.71
0.715,0.35,0.7,0.011,0.38,400,0.386,26.7,46,0.039,1221.4,70.96
0.715,0.35,0.7,0.011,0.4,400,0.376,27.21,43,0.048,1221.9,70.58
0.715,0.35,0.7,0.0115,0.36,400,0.406,31.66,55,0.051,1276.9,70.88
0.715,0.35,0.7,0.0115,0.38,400,0.407,31.77,54,0.046,1277.0,71.09
0.715,0.35,0.7,0.0115,0.4,400,0.403,32.16,54,0.044,1277.4,70.89
0.715,0.35,0.7,0.012,0.36,400,0.316,38.33,63,0.042,1334.1,71.2
0.715,0.35,0.7,0.012,0.38,400,0.322,37.86,62,0.04,1333.6,69.82
0.715,0.35,0.7,0.012,0.4,400,0.312,37.64,63,0.04,1333.4,69.92
0.725,0.25,0.8,0.011,0.36,400,0.377,23.03,58,0.057,1217.7,71.79
0.725,0.25,0.8,0.011,0.38,400,0.437,23.26,51,0.052,1217.9,70.06
0.725,0.25,0.8,0.011,0.4,400,0.437,23.26,51,0.052,1217.9,70.31
0.725,0.25,0.8,0.0115,0.36,400,0.409,27.87,53,0.044,1273.1,70.12
0.725,0.25,0.8,0.0115,0.38,400,0.346,28.2,59,0.043,1273.4,69.92
0.725,0.25,0.8,0.0115,0.4,400,0.425,27.49,53,0.052,1272.7,69.63
0.725,0.25,0.8,0.012,0.36,400,0.291,33.19,65,0.042,1328.9,69.63
0.725,0.25,0.8,0.012,0.38,400,0.337,32.96,62,0.05,1328.7,69.75
0.725,0.25,0.8,0.012,0.4,400,0.305,33.21,65,0.049,1329.0,70.53
0.725,0.3,0.8,0.011,0.36,400,0.405,28.69,55,0.052,1223.4,70.28
0.725,0.3,0.8,0.011,0.38,400,0.378,28.75,57,0.048,1223.4,70.41
0.725,0.3,0.8,0.011,0.4,400,0.391,28.26,56,0.05,1222.9,70.21
0.725,0.3,0.8,0.0115,0.36,400,0.373,33.76,58,0.048,1279.0,69.9
0.725,0.3,0.8,0.0115,0.38,400,0.427,33.73,56,0.065,1278.9,70.32
0.725,0.3,0.8,0.0115,0.4,400,0.381,33.63,60,0.062,1278.8,70.08
0.725,0.3,0.8,0.012,0.36,400,0.318,39.19,67,0.063,1334.9,69.94
0.725,0.3,0.8,0.012,0.38,400,0.334,39.95,64,0.056,1335.7,69.8
0.725,0.3,0.8,0.012,0.4,400,0.377,39.66,61,0.062,1335.4,69.87
0.725,0.35,0.7,0.011,0.36,400,0.428,25.9,53,0.055,1220.6,70.09
0.725,0.35,0.7,0.011,0.38,400,0.446,25.73,52,0.059,1220.4,69.6
0.725,0.35,0.7,0.011,0.4,400,0.374,25.79,56,0.043,1220.5,70.31
0.725,0.35,0.7,0.0115,0.36,400,0.359,31.46,58,0.043,1276.7,70.22
0.725,0.35,0.7,0.0115,0.38,400,0.406,31.02,55,0.051,1276.2,70.17
0.725,0.35,0.7,0.0115,0.4,400,0.43,30.95,51,0.043,1276.2,69.9
0.725,0.35,0.7,0.012,0.36,400,0.255,37.0,69,0.042,1332.7,70.86
0.725,0.35,0.7,0.012,0.38,400,0.283,37.95,66,0.041,1333.7,70.14
0.725,0.35,0.7,0.012,0.4,400,0.327,36.83,61,0.039,1332.6,70.57
