inhib_strength,w_init_lo,w_init_hi,poisson_rate_scale,thresh_init,N_train,proxy_score,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample,runtime_sec
0.695,0.25,0.8,0.01,0.34,400,0.308,15.64,36,0.058,1110.6,71.01
0.695,0.25,0.8,0.01,0.36,400,0.308,15.65,36,0.058,1110.6,71.07
0.695,0.25,0.8,0.01,0.38,400,0.342,15.73,40,0.055,1110.7,71.31
0.695,0.25,0.8,0.0105,0.34,400,0.375,19.87,56,0.048,1164.6,70.95
0.695,0.25,0.8,0.0105,0.36,400,0.436,19.75,50,0.048,1164.5,71.21
0.695,0.25,0.8,0.0105,0.38,400,0.397,19.76,53,0.044,1164.5,70.82
0.695,0.25,0.8,0.011,0.34,400,0.42,23.96,53,0.053,1218.6,70.82
0.695,0.25,0.8,0.011,0.36,400,0.423,24.04,53,0.054,1218.7,71.08
0.695,0.25,0.8,0.011,0.38,400,0.409,24.12,55,0.057,1218.8,70.98
0.7,0.25,0.8,0.01,0.34,400,0.311,15.51,38,0.049,1110.4,71.28
0.7,0.25,0.8,0.01,0.36,400,0.298,15.44,38,0.043,1110.4,71.26
0.7,0.25,0.8,0.01,0.38,400,0.298,15.44,38,0.043,1110.4,71.66
0.7,0.25,0.8,0.0105,0.34,400,0.443,19.55,49,0.057,1164.3,70.78
0.7,0.25,0.8,0.0105,0.36,400,0.438,19.56,49,0.055,1164.3,69.96
0.7,0.25,0.8,0.0105,0.38,400,0.409,19.6,45,0.06,1164.3,70.41
0.7,0.25,0.8,0.011,0.34,400,0.493,23.72,50,0.074,1218.4,70.12
0.7,0.25,0.8,0.011,0.36,400,0.461,23.88,48,0.068,1218.6,69.62
0.7,0.25,0.8,0.011,0.38,400,0.453,23.7,52,0.064,1218.4,70.1
0.705,0.25,0.8,0.01,0.34,400,0.303,15.47,35,0.06,1110.4,69.85
0.705,0.25,0.8,0.01,0.36,400,0.3,15.28,35,0.059,1110.2,69.72
0.705,0.25,0.8,0.01,0.38,400,0.314,15.23,37,0.056,1110.2,69.87
0.705,0.25,0.8,0.0105,0.34,400,0.427,19.53,47,0.059,1164.2,69.95
0.705,0.25,0.8,0.0105,0.36,400,0.43,19.42,48,0.056,1164.1,69.92
0.705,0.25,0.8,0.0105,0.38,400,0.412,19.39,52,0.047,1164.1,70.36
0.705,0.25,0.8,0.011,0.34,400,0.478,23.62,49,0.072,1218.3,70.33
0.705,0.25,0.8,0.011,0.36,400,0.478,23.62,49,0.072,1218.3,70.23
0.705,0.25,0.8,0.011,0.38,400,0.484,23.56,49,0.075,1218.2,69.84
