poisson_rate_scale,nu_plus,nu_minus,top_k,spikes_per_sample,winners_unique,winner_HHI,energy_proxy_per_sample
0.006,0.0001,-5e-05,0,21.75,0,0.0,714.075
0.006,0.0001,-5e-05,3,21.75,17,0.06172839506172839,714.075
0.006,0.0001,-5e-05,5,21.75,26,0.042222222222222223,714.075
0.006,0.0001,-5e-05,6,21.75,29,0.038580246913580266,714.075
0.006,0.0001,-0.0001,0,21.29,0,0.0,713.615
0.006,0.0001,-0.0001,3,21.29,15,0.08024691358024691,713.615
0.006,0.0001,-0.0001,5,21.29,25,0.04666666666666667,713.615
0.006,0.0001,-0.0001,6,21.29,28,0.04166666666666667,713.615
0.006,0.0001,-0.0003,0,19.345,0,0.0,711.67
0.006,0.0001,-0.0003,3,19.345,16,0.06790123456790123,711.67
0.006,0.0001,-0.0003,5,19.345,27,0.04,711.67
0.006,0.0001,-0.0003,6,19.345,32,0.033950617283950615,711.67
0.006,0.0001,-0.001,0,18.885,0,0.0,711.21
0.006,0.0001,-0.001,3,18.885,18,0.05555555555555555,711.21
0.006,0.0001,-0.001,5,18.885,25,0.04666666666666667,711.21
0.006,0.0001,-0.001,6,18.885,28,0.04166666666666667,711.21
0.006,0.0003,-5e-05,0,21.345,0,0.0,713.67
0.006,0.0003,-5e-05,3,21.345,18,0.06575963718820861,713.67
0.006,0.0003,-5e-05,5,21.345,28,0.041632653061224496,713.67
0.006,0.0003,-5e-05,6,21.345,31,0.03741496598639457,713.67
0.006,0.0003,-0.0001,0,19.71,0,0.0,712.035
0.006,0.0003,-0.0001,3,19.71,20,0.059027777777777776,712.035
0.006,0.0003,-0.0001,5,19.71,31,0.03750000000000001,712.035
0.006,0.0003,-0.0001,6,19.71,35,0.03472222222222222,712.035
0.006,0.0003,-0.0003,0,20.385,0,0.0,712.71
0.006,0.0003,-0.0003,3,20.385,17,0.06172839506172839,712.71
0.006,0.0003,-0.0003,5,20.385,27,0.04,712.71
0.006,0.0003,-0.0003,6,20.385,31,0.035493827160493846,712.71
0.006,0.0003,-0.001,0,19.05,0,0.0,711.375
0.006,0.0003,-0.001,3,19.05,18,0.05555555555555555,711.375
0.006,0.0003,-0.001,5,19.05,25,0.04666666666666667,711.375
0.006,0.0003,-0.001,6,19.05,28,0.04166666666666667,711.375
0.006,0.001,-5e-05,0,19.225,0,0.0,711.55
0.006,0.001,-5e-05,3,19.225,17,0.06172839506172839,711.55
0.006,0.001,-5e-05,5,19.225,26,0.042222222222222223,711.55
0.006,0.001,-5e-05,6,19.225,31,0.035493827160493846,711.55
0.006,0.001,-0.0001,0,20.575,0,0.0,712.9
0.006,0.001,-0.0001,3,20.575,20,0.052154195011337855,712.9
0.006,0.001,-0.0001,5,20.575,28,0.04000000000000001,712.9
0.006,0.001,-0.0001,6,20.575,33,0.03514739229024943,712.9
0.006,0.001,-0.0003,0,19.315,0,0.0,711.64
0.006,0.001,-0.0003,3,19.315,18,0.05555555555555555,711.64
0.006,0.001,-0.0003,5,19.315,27,0.04,711.64
0.006,0.001,-0.0003,6,19.315,31,0.03703703703703706,711.64
0.006,0.001,-0.001,0,20.81,0,0.0,713.135
0.006,0.001,-0.001,3,20.81,17,0.06172839506172839,713.135
0.006,0.001,-0.001,5,20.81,27,0.04,713.135
0.006,0.001,-0.001,6,20.81,29,0.04012345679012347,713.135
0.006,0.003,-5e-05,0,19.375,0,0.0,711.7
0.006,0.003,-5e-05,3,19.375,18,0.06122448979591836,711.7
0.006,0.003,-5e-05,5,19.375,24,0.04979591836734694,711.7
0.006,0.003,-5e-05,6,19.375,28,0.0453514739229025,711.7
0.006,0.003,-0.0001,0,18.91,0,0.0,711.235
0.006,0.003,-0.0001,3,18.91,19,0.05668934240362811,711.235
0.006,0.003,-0.0001,5,18.91,24,0.053061224489795916,711.235
0.006,0.003,-0.0001,6,18.91,29,0.04421768707482994,711.235
0.006,0.003,-0.0003,0,20.765,0,0.0,713.09
0.006,0.003,-0.0003,3,20.765,16,0.06790123456790123,713.09
0.006,0.003,-0.0003,5,20.765,24,0.0488888888888889,713.09
0.006,0.003,-0.0003,6,20.765,28,0.04166666666666667,713.09
0.006,0.003,-0.001,0,24.61,0,0.0,716.935
0.006,0.003,-0.001,3,24.61,17,0.06172839506172839,716.935
0.006,0.003,-0.001,5,24.61,24,0.04666666666666666,716.935
0.006,0.003,-0.001,6,24.61,26,0.046296296296296294,716.935
0.007,0.0001,-5e-05,0,69.705,0,0.0,861.28
0.007,0.0001,-5e-05,3,69.705,26,0.04683195592286501,861.28
0.007,0.0001,-5e-05,5,69.705,39,0.03669421487603305,861.28
0.007,0.0001,-5e-05,6,69.705,42,0.03581267217630854,861.28
0.007,0.0001,-0.0001,0,78.36,0,0.0,869.935
0.007,0.0001,-0.0001,3,78.36,24,0.04666666666666666,869.935
0.007,0.0001,-0.0001,5,78.36,34,0.0392,869.935
0.007,0.0001,-0.0001,6,78.36,37,0.037777777777777785,869.935
0.007,0.0001,-0.0003,0,69.705,0,0.0,861.28
0.007,0.0001,-0.0003,3,69.705,25,0.04499540863177227,861.28
0.007,0.0001,-0.0003,5,69.705,38,0.0340495867768595,861.28
0.007,0.0001,-0.0003,6,69.705,40,0.03351698806244261,861.28
0.007,0.0001,-0.001,0,67.43,0,0.0,859.005
0.007,0.0001,-0.001,3,67.43,26,0.04499540863177226,859.005
0.007,0.0001,-0.001,5,67.43,36,0.03933884297520661,859.005
0.007,0.0001,-0.001,6,67.43,40,0.03810835629017448,859.005
0.007,0.0003,-5e-05,0,79.355,0,0.0,870.93
0.007,0.0003,-5e-05,3,79.355,26,0.04499540863177226,870.93
0.007,0.0003,-5e-05,5,79.355,36,0.039999999999999994,870.93
0.007,0.0003,-5e-05,6,79.355,38,0.039944903581267205,870.93
0.007,0.0003,-0.0001,0,73.675,0,0.0,865.25
0.007,0.0003,-0.0001,3,73.675,24,0.04866850321395776,865.25
0.007,0.0003,-0.0001,5,73.675,33,0.04132231404958678,865.25
0.007,0.0003,-0.0001,6,73.675,37,0.038567493112947646,865.25
0.007,0.0003,-0.0003,0,66.75,0,0.0,858.325
0.007,0.0003,-0.0003,3,66.75,25,0.046831955922865015,858.325
0.007,0.0003,-0.0003,5,66.75,34,0.04198347107438016,858.325
0.007,0.0003,-0.0003,6,66.75,37,0.04269972451790632,858.325
0.007,0.0003,-0.001,0,65.245,0,0.0,856.82
0.007,0.0003,-0.001,3,65.245,23,0.051111111111111114,856.82
0.007,0.0003,-0.001,5,65.245,31,0.04959999999999998,856.82
